"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"cast_black_card_500_description";"Play 500 cards of the black legion.";"Spiele 500 Karten der schwarzen Legion.";"Jouer 500 cartes de la légion noire.";"Jogue 500 cartas da legião negra.";"Разыграйте 500 карт Черного легиона.";"Juega 500 cartas de la legión negra.";"Gioca 500 carte della legione nera.";"";"";"";"Zagraj 500 kart czarnego legionu.";"";"Jogue 500 cartas da legião negra.";"Siyah lejyonun 500 kartını oyna.";"";"Zahrej kartu černé legie 500×";"Παίξε 500 κάρτες τής μαύρης λεγεώνας.";"Játsz ki 500 lapot a fekete légióból.";"";"Joacă 500 de cărți ale legiunii negre.";"";"Розіграйте 500 карт Чорного легіону.";"";"玩过 500 张黑色军团的卡牌。";"玩過 500 張黑色軍團的卡牌。";"";"게임에서 흑색 군단의 카드를 500번 사용하기.";"";""
"cast_black_card_5000_description";"Play 5,000 cards of the black legion.";"Spiele 5.000 Karten der schwarzen Legion.";"Jouer 5000 cartes de la légion noire.";"Jogue 5,000 cartas da legião negra.";"Разыграйте 5000 карт Черного легиона.";"Juega 5,000 cartas de la legión negra.";"Gioca 5000 carte della legione nera.";"";"";"";"Zagraj 5 000 kart czarnego legionu.";"";"Jogue 5.000 cartas da Legião Negra.";"Siyah lejyonun 5,000 kartını oyna.";"";"Zahrej kartu černé legie 5'000×";"Παίξε 5.000 κάρτες τής μαύρης λεγεώνας.";"Játsz ki 5,000 lapot a fekete légióból.";"";"Joacă 5,000 de cărți ale legiunii negre.";"";"Розіграйте 5000 карт Чорного легіону.";"";"玩过 5,000 张黑色军团的卡牌。";"玩過 5,000 張黑色軍團的卡牌。";"";"게임에서 흑색 군단의 카드를 5,000번 사용하기.";"";""
"cast_blue_card_50_description";"Play 50 cards of the blue legion.";"Spiele 50 Karten der blauen Legion.";"Jouer 50 cartes de la légion bleue.";"Jogue 50 cartas da legião azul.";"Разыграйте 50 карт Синего легиона.";"Juega 50 cartas de la legión azul.";"Gioca 50 carte della legione blu.";"";"";"";"Zagraj 50 kart niebieskiego legionu.";"";"Jogue 50 cartas da legião azul.";"Mavi lejyonun 50 kartını oyna.";"";"Zahrej kartu modré legie 50×";"Παίξε 50 κάρτες τής μπλε λεγεώνας.";"Játsz ki 50 lapot a kék légióból.";"";"Joacă 50 de cărți ale legiunii albastre.";"";"Розіграйте 50 карт Синього легіону.";"";"玩过 50 张蓝色军团的卡牌。";"玩過 50 張藍色軍團的卡牌。";"";"게임에서 청색 군단의 카드를 50번 사용하기.";"";""
"cast_blue_card_500_description";"Play 500 cards of the blue legion.";"Spiele 500 Karten der blauen Legion.";"Jouer 500 cartes de la légion bleue.";"Jogue 500 cartas da legião azul.";"Разыграйте 500 карт Синего легиона.";"Juega 500 cartas de la legión azul.";"Gioca 500 carte della legione blu.";"";"";"";"Zagraj 500 kart niebieskiego legionu.";"";"Jogue 500 cartas da legião azul.";"Mavi lejyonun 500 kartını oyna.";"";"Zahrej kartu modré legie 500×";"Παίξε 500 κάρτες τής μπλε λεγεώνας.";"Játsz ki 500 lapot a kék légióból.";"";"Joacă 500 de cărți ale legiunii albastre.";"";"Розіграйте 500 карт Синього легіону.";"";"玩过 500 张蓝色军团的卡牌。";"玩過 500 張藍色軍團的卡牌。";"";"게임에서 청색 군단의 카드를 500번 사용하기.";"";""
"cast_blue_card_5000_description";"Play 5,000 cards of the blue legion.";"Spiele 5.000 Karten der blauen Legion.";"Jouer 5000 cartes de la légion bleue.";"Jogue 5,000 cartas da legião azul.";"Разыграйте 5000 карт Синего легиона.";"Juega 5,000 cartas de la legión azul.";"Gioca 5000 carte della legione blu.";"";"";"";"Zagraj 5 000 kart niebieskiego legionu.";"";"Jogue 5.000 cartas da legião azul.";"Mavi lejyonun 5,000 kartını oyna.";"";"Zahrej kartu modré legie 5'000×";"Παίξε 5.000 κάρτες τής μπλε λεγεώνας.";"Játsz ki 5,000 lapot a kék légióból.";"";"Joacă 5,000 de cărți ale legiunii albastre.";"";"Розіграйте 5000 карт Синього легіону.";"";"玩过 5,000 张蓝色军团的卡牌。";"玩過 5,000 張藍色軍團的卡牌。";"";"게임에서 청색 군단의 카드를 5,000번 사용하기.";"";""
"cast_green_card_50_description";"Play 50 cards of the green legion.";"Spiele 50 Karten der gr?en Legion.";"Jouer 50 cartes de la légion verte.";"Jogue 50 cartas da legião verde.";"Разыграйте 50 карт Зеленого легиона.";"Juega 50 cartas de la legión verde.";"Gioca 50 carte della legione verde.";"";"";"";"Zagraj 50 kart zielonego legionu.";"";"Jogue 50 cartas da legião verde.";"Yeşil lejyonun 50 kartını oyna.";"";"Zahrej kartu zelené legie 50×";"Παίξε 50 κάρτες τής πράσινης λεγεώνας.";"Játsz ki 50 lapot a zöld légióból.";"";"Joacă 50 de cărți ale legiunii verzi.";"";"Розіграйте 50 карт Зеленого легіону.";"";"玩过 50 张绿色军团的卡牌。";"玩過 50 張綠色軍團的卡牌。";"";"게임에서 녹색 군단의 카드를 50번 사용하기.";"";""
"cast_green_card_500_description";"Play 500 cards of the green legion.";"Spiele 500 Karten der gr?en Legion.";"Jouer 500 cartes de la légion verte.";"Jogue 500 cartas da legião verde.";"Разыграйте 500 карт Зеленого легиона.";"Juega 500 cartas de la legión verde.";"Gioca 500 carte della legione verde.";"";"";"";"Zagraj 500 kart zielonego legionu.";"";"Jogue 500 cartas da legião verde.";"Yeşil lejyonun 500 kartını oyna.";"";"Zahrej kartu zelené legie 500×";"Παίξε 500 κάρτες τής πράσινης λεγεώνας.";"Játsz ki 500 lapot a zöld légióból.";"";"Joacă 500 de cărți ale legiunii verzi.";"";"Розіграйте 500 карт Зеленого легіону.";"";"玩过 500 张绿色军团的卡牌。";"玩過 500 張綠色軍團的卡牌。";"";"게임에서 녹색 군단의 카드를 500번 사용하기.";"";""
"cast_green_card_5000_description";"Play 5,000 cards of the green legion.";"Spiele 5.000 Karten der gr?en Legion.";"Jouer 5000 cartes de la légion verte.";"Jogue 5,000 cartas da legião verde.";"Разыграйте 5000 карт Зеленого легиона.";"Juega 5,000 cartas de la legión verde.";"Gioca 5000 carte della legione verde.";"";"";"";"Zagraj 5 000 kart zielonego legionu.";"";"Jogue 5.000 cartas da legião verde.";"Yeşil lejyonun 5,000 kartını oyna.";"";"Zahrej kartu zelené legie 5'000×";"Παίξε 5.000 κάρτες τής πράσινης λεγεώνας.";"Játsz ki 5,000 lapot a zöld légióból.";"";"Joacă 5,000 de cărți ale legiunii verzi.";"";"Розіграйте 5000 карт Зеленого легіону.";"";"玩过 5,000 张绿色军团的卡牌。";"玩過 5,000 張綠色軍團的卡牌。";"";"게임에서 녹색 군단의 카드를 5,000번 사용하기.";"";""
"cast_colorless_card_50_description";"Play 50 cards of the crystal legion.";"Spiele 50 Karten der Kristall-Legion.";"Jouer 50 cartes de la légion de cristal.";"Jogue 50 cartas da legião de cristal.";"Разыграйте 50 карт Кристального легиона.";"Juega 50 cartas de la legión de cristal.";"Gioca 50 carte della legione cristallo.";"";"";"";"Zagraj 50 kart kryształowego legionu.";"";"Jogue 50 cartas da legião de cristal.";"Kristal lejyonun 50 kartını oyna.";"";"Zahrej kartu legie krystalů 50×";"Παίξε 50 κάρτες τής κρυστάλλινης λεγεώνας.";"Játsz ki 50 lapot a kristály légióból.";"";"Joacă 50 de cărți ale legiunii de cristal.";"";"Розіграйте 50 карт Кристального легіону.";"";"玩过 50 张水晶军团的卡牌。";"玩過 50 張水晶軍團的卡牌。";"";"게임에서 수정 군단의 카드를 50번 사용하기.";"";""
"cast_colorless_card_500_description";"Play 500 cards of the crystal legion.";"Spiele 500 Karten der Kristall-Legion.";"Jouer 500 cartes de la légion de cristal.";"Jogue 500 cartas da legião de cristal.";"Разыграйте 500 карт Кристального легиона.";"Juega 500 cartas de la legión de cristal.";"Gioca 500 carte della legione cristallo.";"";"";"";"Zagraj 500 kart kryształowego legionu.";"";"Jogue 500 cartas da legião de cristal.";"Kristal lejyonun 500 kartını oyna.";"";"Zahrej kartu legie krystalů 500×";"Παίξε 500 κάρτες τής κρυστάλλινης λεγεώνας.";"Játsz ki 500 lapot a kristály légióból.";"";"Joacă 500 de cărți ale legiunii de cristal.";"";"Розіграйте 500 карт Кристального легіону.";"";"玩过 500 张水晶军团的卡牌。";"玩過 500 張水晶軍團的卡牌。";"";"게임에서 수정 군단의 카드를 500번 사용하기.";"";""
"cast_colorless_card_5000_description";"Play 5,000 cards of the crystal legion.";"Spiele 5.000 Karten der Kristall-Legion.";"Jouer 5000 cartes de la légion de cristal. ";"Jogue 5,000 cartas da legião de cristal.";"Разыграйте 5000 карт Кристального легиона.";"Juega 5,000 cartas de la legión de cristal.";"Gioca 5000 carte della legione cristallo.";"";"";"";"Zagraj 5 000 kart kryształowego legionu.";"";"Jogue 5.000 cartas da legião de cristal.";"Kristal lejyonun 5,000 kartını oyna.";"";"Zahrej kartu legie krystalů 5'000×";"Παίξε 5.000 κάρτες τής κρυστάλλινης λεγεώνας.";"Játsz ki 5,000 lapot a kristály légióból.";"";"Joacă 5,000 de cărți ale legiunii de cristal.";"";"Розіграйте 5000 карт Кристального легіону.";"";"玩过 5,000 张水晶军团的卡牌。";"玩過 5,000 張水晶軍團的卡牌。";"";"게임에서 수정 군단의 카드를 5,000번 사용하기.";"";""
"cast_white_card_50_description";"Play 50 cards of the white legion.";"Spiele 50 Karten der weiﾟen Legion.";"Jouer 50 cartes de la légion blanche.";"Jogue 50 cartas da legião branca.";"Разыграйте 50 карт Белого легиона.";"Juega 50 cartas de la legión blanca.";"Gioca 50 carte della legione bianca.";"";"";"";"Zagraj 50 kart białego legionu.";"";"Jogue 50 cartas da legião branca.";"Beyaz lejyonun 50 kartını oyna.";"";"Zahrej kartu bílé legie 50×";"Παίξε 50 κάρτες τής λευκής λεγεώνας.";"Játsz ki 50 lapot a fehér légióból.";"";"Joacă 50 de cărți ale legiunii albe.";"";"Розіграйте 50 карт Білого легіону.";"";"玩过 50 张白色军团的卡牌。";"玩過 50 張白色軍團的卡牌。";"";"게임에서 백색 군단의 카드를 50번 사용하기.";"";""
"cast_white_card_500_description";"Play 500 cards of the white legion.";"Spiele 500 Karten der weiﾟen Legion.";"Jouer 500 cartes de la légion blanche. ";"Jogue 500 cartas da legião branca.";"Разыграйте 500 карт Белого легиона.";"Juega 500 cartas de la legión blanca.";"Gioca 500 carte della legione bianca.";"";"";"";"Zagraj 500 kart białego legionu.";"";"Jogue 500 cartas da legião branca.";"Beyaz lejyonun 500 kartını oyna.";"";"Zahrej kartu bílé legie 500×";"Παίξε 500 κάρτες τής λευκής λεγεώνας.";"Játsz ki 500 lapot a fehér légióból.";"";"Joacă 500 de cărți ale legiunii albe.";"";"Розіграйте 500 карт Білого легіону.";"";"玩过 500 张白色军团的卡牌。";"玩過 500 張白色軍團的卡牌。";"";"게임에서 백색 군단의 카드를 500번 사용하기.";"";""
"cast_white_card_5000_description";"Play 5,000 cards of the white legion.";"Spiele 5.000 Karten der weiﾟen Legion.";"Jouer 5000 cartes de la légion blanche. ";"Jogue 5,000 cartas da legião branca.";"Разыграйте 5000 карт Белого легиона.";"Juega 5.000 cartas de la legión blanca.";"Gioca 5000 carte della legione bianca.";"";"";"";"Zagraj 5 000 kart białego legionu.";"";"Jogue 5.000 cartas da legião branca.";"Beyaz lejyonun 5,000 kartını oyna.";"";"Zahrej kartu bílé legie 5'000×";"Παίξε 5.000 κάρτες τής λευκής λεγεώνας.";"Játsz ki 5,000 lapot a fehér légióból.";"";"Joacă 5.000 de cărți ale legiunii albe.";"";"Розіграйте 5000 карт Білого легіону.";"";"玩过 5,000 张白色军团的卡牌。";"玩過 5,000 張白色軍團的卡牌。";"";"게임에서 백색 군단의 카드를 5,000번 사용하기.";"";""
"cast_legendary_10_description";"Play 10 legendary cards.";"Spiele 10 legend舐e Karten.";"Jouer 10 cartes légendaires.";"Jogue 10 cartas lendárias.";"Сыграйте 10 легендарных карт.";"Juega 10 cartas legendarias.";"Gioca 10 carte leggendarie.";"";"";"";"Zagraj 10 legendarnych kart.";"";"Jogue 10 cartas lendárias.";"10 efsanevi kart oyna.";"";"10 Legend";"Παίξε 10 θρυλικές κάρτες.";"Játsz ki 10 legendás kártyát.";"";"Joacă 10 de cărți legendare.";"";"Зіграйте 10 легендарних карт.";"";"玩过 10 张传奇等级卡牌。";"玩過 10 張傳奇等級卡牌。";"";"게임에서 전설 등급 카드를 10번 사용하기.";"";""
"cast_legendary_100_description";"Play 100 legendary cards.";"Spiele 100 legend舐e Karten.";"Jouer 100 cartes légendaires. ";"Jogue 100 cartas lendárias.";"Сыграйте 100 легендарных карт.";"Juega 100 cartas legendarias.";"Gioca 100 carte leggendarie.";"";"";"";"Zagraj 100 legendarnych kart.";"";"Jogue 100 cartas lendárias.";"100 efsanevi kart oyna.";"";"100 Legend";"Παίξε 100 θρυλικές κάρτες.";"Játsz ki 100 legendás kártyát.";"";"Joacă 100 de cărți legendare.";"";"Зіграйте 100 легендарних карт.";"";"玩过 100 张传奇等级卡牌。";"玩過 100 張傳奇等級卡牌。";"";"게임에서 전설 등급 카드를 100번 사용하기.";"เล่นการ์ดระดับตำนาน 100 ใบ";""
"cast_legendary_1000_description";"Play 1,000 legendary cards.";"Spiele 1.000 legend舐e Karten.";"Jouer 1000 cartes légendaires.";"Jogue 1,000 cartas lendárias.";"Сыграйте 1000 легендарных карт.";"Juega 1.000 cartas legendarias.";"Gioca 1000 carte leggendarie.";"";"";"";"Zagraj 1 000 legendarnych kart.";"";"Jogue 1000 cartas lendárias.";"1,000 efsanevi kart oyna.";"";"1'000 Legend";"Παίξε 1.000 θρυλικές κάρτες.";"Játsz ki 1,000 legendás kártyát.";"";"Joacă 1.000 de cărți legendare.";"";"Зіграйте 1000 легендарних карт.";"";"玩过 1,000 张传奇等级卡牌。";"玩過 1,000 張傳奇等級卡牌。";"";"게임에서 전설 등급 카드를 1,000번 사용하기.";"เล่นการ์ดระดับตำนาน 1,000 ใบ";""
"balance_gold_10000_description";"Own 10,000 credits.";"Besitze 10.000 Credits.";"Posséder 10 000 crédits.";"Possua 10,000 créditos.";"Получите 10,000 кредитов.";"Tiene 10,000 créditos.";"Acquisisci 10000 crediti.";"";"";"";"Posiadaj 10 000 kredytów.";"";"Possua 10.000 créditos.";"10,000 krediye sahip ol.";"";"Mám 10'000 kreditů";"Έχε στην κατοχή σου 10.000 μετρητά.";"Legyen 10,000 kredited.";"";"Deține 10,000 de credite.";"";"Отримайте 10,000 кредитів.";"";"拥有 10,000 代币。";"擁有 10,000 代幣。";"";"10,000 크레딧 보유하기.";"";""
"balance_gold_100000_description";"Own 100,000 credits.";"Besitze 100.000 Credits.";"Posséder 100 000 crédits.";"Possua 100,000 créditos.";"Получите 100,000 кредитов.";"Tiene 100.000 créditos.";"Acquisisci 100000 crediti.";"";"";"";"Posiadaj 100 000 kredytów.";"";"Possua 100.000 créditos.";"100,000 krediye sahip ol.";"";"Mám 100'000 kreditů";"Έχε στην κατοχή σου 100.000 μετρητά.";"Legyen 100,000 kredited.";"";"Deține 100,000 de credite.";"";"Отримайте 100,000 кредитів.";"";"拥有 100,000 代币。";"擁有 100,000 代幣。";"";"100,000 크레딧 보유하기.";"";""
"balance_gold_1000000_description";"Own 1,000,000 credits.";"Besitze 1.000.000 Credits.";"Posséder 1 000 000 crédits.";"Possua 1,000,000 créditos.";"Получите 1,000,000 кредитов.";"Tiene 1,000,000 créditos.";"Acquisisci 1000000 crediti.";"";"";"";"Posiadaj 1 000 000 kredytów.";"";"Possua 1.000.000 de créditos.";"1,000,000 krediye sahip ol.";"";"Mám 1'000'000 kreditů";"Έχε στην κατοχή σου 1.000.000 μετρητά.";"Legyen 1,000,000 kredited.";"";"Deține 1.000.000 de credite.";"";"Отримайте 1,000,000 кредитів.";"";"拥有 1,000,000 代币。";"擁有 1,000,000 代幣。";"";"1,000,000 크레딧 보유하기.";"";""
"read_patch_notes_description";"Read the patch notes.";"Lese die Patchnotizen.";"Lire les notes de version.";"Leia as atualizações.";"Прочтите заметки о патче.";"Lee las notas del parche.";"Leggi le note della patch.";"";"";"";"Przeczytaj informacje o aktualizacji.";"";"Leia as notas de atualização.";"Yama notlarını oku.";"";"Přečti si poznámky k aktualizaci";"Διάβασε τις σημειώσεις ενημέρωσης.";"Olvasd el a a frissítéseket.";"";"Citiți notele de actualizare.";"";"Прочитайте замітки про патч.";"";"阅读更新说明。";"閱讀更新說明。";"";"패치 노트 읽어보기.";"";""
"profile_icon_broken_games_description";"Choose the Broken Games Logo as profile icon.";"W臧le das Broken Games-Logo als Profilicon.";"Choisir le logo Broken Games comme icône de profil.";"Escolha o ícone da Broken Games como ícone do perfil.";"Выберите логотип Broken Games в качестве значка профиля.";"Elige el logotipo de Broken Games como icono de perfil.";"Scegli il logo della Broken Games come immagine del profilo.";"";"";"";"Wybierz logo Broken Games jako ikonę profilu.";"";"Escolha o logotipo do Broken Games como ícone do perfil.";"Broken Games logosunu profil ikonun olarak seç";"";"Vyberte si Broken Games Logo jako ikonu profilu.";"Επίλεξε το λογότυπο Broken Games για εικονίδιο προφίλ.";"Válaszd ki a törött lámpás logót profilképnek.";"";"Alegeți logo-ul jocuri stricate ca pictogramă de profil.";"";"Оберіть логотип Broken Games в якості значка профілю.";"";"选取 Broken Games 公司标志作为你个人资料图标。";"選取 Broken Games 公司標誌作為你個人資料圖標。";"";"'Broken Games' 로고를 프로필 아이콘으로 설정하기";"";""
"secret_riseoflegionscom_description";"Find the secret on riseoflegions.com";"Finde das Geheimnis auf riseoflegions.com";"Trouver le secret sur riseoflegions.com";"Encontre o segredo em riseoflegions.com";"Найти Секрет в riseoflegions.com";"Encuentra el secreto en riseoflegions.com";"Trova il segreto su riseoflegions.com";"";"";"";"Znajdź sekret na riseoflegions.com";"";"Encontre o segredo em riseoflegions.com";"riseoflegions.com'daki gizli şeyi bul";"";"Najdi tajemství na riseoflegions.com";"Βρες το μυστικό στο riseoflegions.com";"Találd meg a titkot riseoflegions.com-on";"";"Găsiți secretul pe riseoflegions.com";"";"Знайти Секрет в riseoflegions.com";"";"找出 riseoflegions.com 的秘密";"找出 riseoflegions.com 的秘密";"";"'riseoflegions.com' 웹사이트에서 비밀 찾기.";"";""
"secret_brokengamesde_description";"Find the secret on brokengames.de";"Finde das Geheimnis auf brokengames.de";"Trouver le secret sur brokengames.de";"Escontre o segredo em brokengames.de";"Найти Секрет brokengames.de";"Encuentra el secreto en brokengames.de";"Trova il segreto su brokengames.de";"";"";"";"Znajdź sekret na brokengames.de";"";"Encontre o segredo em brokengames.de";"brokengames.de'deki gizli şeyi bul";"";"Najdi tajemství na brokengames.de";"Βρες το μυστικό στο brokengames.de";"Találd meg a titkot brokengames.de-n";"";"Găsiți secretul pe brokengames.de";"";"Знайти Секрет brokengames.de";"";"找出 brokengames.de 的秘密";"找出 brokengames.de 的秘密";"";"'brokengames.de' 웹사이트에서 비밀 찾기.";"";""
"secret_steam_description";"Find the secret on Steam";"Finde das Geheimnis auf Steam";"Trouver le secret sur Steam";"Encontre o segredo na Steam";"Найти Секрет в Steam";"Encuentra el secreto en Steam";"Trova il segreto su Steam";"";"";"";"Znajdź sekret na Steamie";"";"Encontre o segredo na Steam";"Steam'deki gizli şeyi bul";"";"Najdi tajemství na Steamu";"Βρες το μυστικό στο Steam";"Találd meg a titkot steamen";"";"Găsiți secretul pe Steam";"";"Знайти Секрет в Steam";"";"找出 Steam 的秘密";"找出 Steam 的秘密";"";"스팀에서 비밀 찾기.";"หาความลับใน Steam";""
"secret_twitter_description";"Find the secret on Twitter";"Finde das Geheimnis auf Twitter";"Trouvez le secret sur Twitter";"Encontre o segredo no Twitter";"Найти Секрет в Twitter";"Encuentra el secreto en Twitter";"Trova il segreto su Twitter";"";"";"";"Znajdź sekret na Twitterze";"";"Encontre o segredo no Twitter";"Twitter'daki gizli şeyi bul";"";"Najdi tajemství na Twitteru";"Βρες το μυστικό στο Τουίτερ";"Találd meg a titkot twitteren";"";"Găsiți secretul pe Twitter";"";"Знайти Секрет в Twitter";"";"找出 Twitter 的秘密";"找出 Twitter 的秘密";"";"트위터에서 비밀 찾기.";"หาความลับใน Twitter";""
"secret_facebook_description";"Find the secret on Facebook";"Finde das Geheimnis auf Facebook";"Trouvez le secret sur Facebook";"Encontre o segredo no Facebook";"Найти Секрет в Facebook";"Encuentra el secreto en Facebook";"Trova il segreto su Facebook";"";"";"";"Znajdź sekret na Facebooku";"";"Encontre o segredo no Facebook";"Facebook'daki gizli şeyi bul";"";"Najdi tajemství na Facebooku";"Βρες το μυστικό στο Φέισμπουκ";"Találd meg a titkot facebookon";"";"Găsiți secretul pe Facebook";"";"Знайти Секрет в Facebook";"";"找出 Facebook 的秘密";"找出 Facebook 的秘密";"";"페이스북에서 비밀 찾기.";"หาความลับใน Facebook";""
"secret_client_description";"Find the secret in the game";"Finde das Geheimnis im Spiel";"Trouvez le secret dans le jeu";"Encontre o segredo no jogo";"Найти Секрет в игре";"Encuentra el secreto en el juego";"Trova il segreto in gioco";"";"";"";"Znajdź sekret w grze";"";"Encontre o segredo no jogo";"Oyundaki gizli şeyi bul";"";"Najdi tajemství ve hře";"Βρες το μυστικό στο παιχνίδι";"Találd meg a titkot a játékban";"";"Găsiți secretul în joc";"";"Знайти Секрет у грі";"";"找出游戏中的秘密";"找出遊戲中的秘密";"";"게임에서 비밀 찾기.";"หาความลับในเกม";""
"secret_youtube_description";"Find the secret on YouTube";"Finde das Geheimnis auf YouTube";"Trouvez le secret sur YouTube";"Encontre o segredo no YouTube";"Найти Секрет в YouTube";"Encuentra el secreto en YouTube";"Trova il segreto su YouTube";"";"";"";"Znajdź sekret na YouTubie";"";"Encontre o segredo no YouTube";"YouTube'daki gizli şeyi bul";"";"Najdi tajemství na YouTube";"Βρες το μυστικό στο YouTube";"Találd meg a titkot Youtube-on";"";"Găsiți secretul pe YouTube";"";"Знайти Секрет в YouTube";"";"找出 YouTube 的秘密";"找出 YouTube 的秘密";"";"유투브에서 비밀 찾기.";"หาความลับใน Youtube";""
"secret_discord_description";"Find the secret on Discord";"Finde das Geheimnis auf Discord";"Trouvez le secret sur Discord";"Encontre o segredo no Discord";"Найти Секрет в Discord";"Encuentra el secreto en Discord";"Trova il segreto su Discord";"";"";"";"Znajdź sekret na Discordzie";"";"Encontre o segredo no Discord";"Discord'daki gizli şeyi bul";"";"Najdi tajemství na Discordu";"Βρες το μυστικό στο Discord";"Találd meg a titkot Discordon";"";"Găsiți secretul pe Discord";"";"Знайти Секрет в Discord";"";"找出 Discord 的秘密";"找出 Discord 的秘密";"";"디스코드에서 비밀 찾기.";"หาความลับใน Discord";""
